fsr_1,fsr_2,fsr_3,fsr_4,fsr_5,ground_truth
1442,1447,1441,1413,1351,20
1437,1462,1430,1449,1378,20
1446,1447,1448,1430,1339,20
1452,1465,1472,1444,1392,20
1455,1456,1477,1425,1330,20
1429,1479,1456,1428,1431,20
1433,1469,1458,1445,1357,20
1445,1443,1456,1414,1323,20
1431,1465,1424,1458,1402,20
1462,1456,1472,1411,1328,20
1434,1461,1473,1427,1337,20
1440,1470,1455,1421,1330,20
1431,1491,1453,1406,1423,20
1456,1463,1450,1403,1338,20
1437,1525,1466,1443,1374,20
1466,1457,1472,1406,1323,20
1431,1474,1453,1472,1299,20
1503,1488,1472,1415,1371,20
1037,1104,1078,1097,1076,30
1057,1077,1121,1091,1072,30
1050,1084,1093,1101,1075,30
1069,1094,1088,1088,1069,30
1051,1071,1095,1088,1066,30
1065,1088,1080,1091,1078,30
1067,1076,1087,1088,1074,30
1063,1083,1082,1085,1066,30
1051,1087,1097,1088,1075,30
1041,1086,1087,1113,1061,30
1050,1087,1088,1089,1077,30
1072,1083,1079,1083,1061,30
1047,1088,1101,1083,1065,30
1066,1085,1104,1088,1050,30
1057,1082,1079,1094,1066,30
1056,1082,1097,1094,1062,30
1052,1083,1088,1082,1059,30
1067,1084,1100,1095,1075,30
1035,1100,1075,1089,1059,30
1044,1078,1105,1089,1069,30
1046,1085,1088,1089,1029,30
1057,1083,1088,1093,1049,30
1050,1082,1095,1088,1072,30
1059,1078,1073,1075,1058,30
1068,1088,1097,1088,1061,30
1066,1082,1095,1079,1045,30
1058,1118,1098,1094,1042,30
1056,1086,1101,1091,1074,30
1053,1087,1088,1105,1047,30
1074,1077,1090,1108,1054,30
1060,1094,1099,1088,1055,30
1079,1101,1086,1087,1042,30
1057,1091,1100,1091,1065,30
1074,1088,1106,1088,1051,30
1072,1083,1104,1082,1071,30
1078,1093,1094,1101,1058,30
1063,1094,1104,1087,1087,30
1077,1097,1087,1082,1043,30
1068,1088,1104,1083,1061,30
1069,1091,1110,1092,1039,30
1057,1088,1101,1100,1031,30
1088,1093,1107,1079,1013,30
1083,1095,1088,1088,1031,30
1073,1094,1089,1088,1023,30
1079,1088,1099,1083,1042,30
1078,1103,1105,1089,1050,30
1082,1088,1104,1076,1055,30
1072,1100,1095,1070,1050,30
1072,1081,1095,1076,1061,30
997,941,936,1003,973,40
1008,944,969,971,974,40
967,960,954,989,1010,40
1073,925,969,988,962,40
987,981,962,1008,1003,40
1018,965,963,971,947,40
980,938,973,1031,1017,40
1028,959,954,1002,970,40
1014,933,981,1020,956,40
1028,983,991,991,974,40
992,937,1008,971,935,40
963,959,946,995,976,40
989,951,961,1007,944,40
979,944,978,970,971,40
947,946,987,962,949,40
963,925,983,1039,925,40
951,962,996,1009,976,40
993,960,955,1003,939,40
945,967,957,966,967,40
1011,929,986,963,938,40
962,922,1008,1003,973,40
967,998,965,1008,957,40
963,937,987,1002,941,40
944,938,965,976,951,40
970,960,1028,1008,929,40
944,930,951,970,944,40
991,966,994,1005,969,40
963,922,963,978,929,40
970,963,991,982,941,40
938,975,979,978,971,40
971,933,997,959,963,40
934,979,964,1002,933,40
960,935,970,976,963,40
947,957,962,964,957,40
991,931,975,982,944,40
969,995,976,986,957,40
937,946,966,1003,962,40
942,945,1014,992,938,40
967,990,964,955,960,40
945,943,995,1002,918,40
961,975,967,951,945,40
953,943,1018,1014,951,40
967,944,962,947,930,40
960,944,1029,960,924,40
971,960,983,1023,919,40
946,943,967,962,946,40
960,966,992,998,917,40
942,942,998,967,930,40
919,972,977,1008,953,40
961,937,981,995,951,40
944,960,955,972,941,40
961,1003,970,975,970,40
933,960,974,979,937,40
944,951,982,983,945,40
957,954,978,1009,941,40
976,967,991,963,912,40
931,943,1002,1015,946,40
957,1009,962,960,907,40
937,944,1008,1008,946,40
971,947,1033,1003,933,40
925,955,962,960,937,40
965,944,1008,948,946,40
944,941,966,994,937,40
951,983,986,985,941,40
651,576,486,456,430,50
656,593,497,454,432,50
635,567,494,495,429,50
641,565,496,506,432,50
645,603,494,458,426,50
656,557,509,496,405,50
795,569,533,497,416,50
639,563,496,449,427,50
654,575,511,429,430,50
671,565,491,443,432,50
637,555,523,445,423,50
708,563,486,448,439,50
628,560,479,432,420,50
704,608,484,470,420,50
643,554,496,470,398,50
627,614,489,464,431,50
669,549,464,448,463,50
720,549,481,494,438,50
695,595,517,443,427,50
703,546,474,447,419,50
624,635,474,438,429,50
624,553,478,441,413,50
650,539,478,434,397,50
679,541,473,446,411,50
613,529,471,430,386,50
621,533,475,459,400,50
610,605,532,437,406,50
602,528,471,448,426,50
633,528,466,454,395,50
631,528,469,432,385,50
624,528,528,431,421,50
671,525,467,453,399,50
665,528,473,432,385,50
669,540,547,431,417,50
594,517,469,450,400,50
613,572,477,442,371,50
592,520,469,432,391,50
635,518,465,435,461,50
649,519,459,470,395,50
592,559,467,426,381,50
589,499,464,473,387,50
597,509,469,429,397,50
602,503,464,432,448,50
596,518,464,431,384,50
585,503,467,399,387,50
658,496,453,438,395,50
578,508,480,452,403,50
576,511,464,439,385,50
638,492,464,400,397,50
590,503,455,501,366,50
585,504,464,495,387,50
572,489,464,445,368,50
