fsr_1,fsr_2,fsr_3,fsr_4,fsr_5,ground_truth
1455,1456,1477,1425,1330,0
1421,1466,1456,1532,1367,0
1408,1444,1463,1476,1413,0
1386,1451,1455,1445,1425,0
1417,1461,1505,1429,1371,0
1419,1440,1486,1460,1517,0
1455,1442,1434,1449,1424,0
1411,1427,1473,1430,1439,0
1503,1488,1472,1415,1371,0
1424,1445,1469,1441,1364,0
1466,1457,1472,1406,1323,0
1420,1486,1463,1418,1430,0
1453,1456,1451,1488,1434,0
1433,1469,1458,1445,1357,0
1483,1511,1456,1451,1411,0
1421,1441,1466,1430,1457,0
1437,1525,1466,1443,1374,0
1425,1449,1446,1443,1411,0
1051,1071,1095,1088,1066,1
1072,1100,1095,1070,1050,1
1044,1078,1105,1089,1069,1
1057,1082,1079,1094,1066,1
1079,1088,1099,1083,1042,1
1063,1083,1082,1085,1066,1
1060,1094,1099,1088,1055,1
1058,1118,1098,1094,1042,1
1072,1083,1079,1083,1061,1
1079,1101,1086,1087,1042,1
1056,1086,1101,1091,1074,1
1078,1103,1105,1089,1050,1
1066,1082,1095,1079,1045,1
1088,1093,1107,1079,1013,1
1057,1083,1088,1093,1049,1
1069,1094,1088,1088,1069,1
1035,1100,1075,1089,1059,1
1082,1088,1104,1076,1055,1
1059,1078,1073,1075,1058,1
1068,1088,1097,1088,1061,1
1074,1088,1106,1088,1051,1
1050,1082,1095,1088,1072,1
1051,1087,1097,1088,1075,1
1067,1076,1087,1088,1074,1
1068,1088,1104,1083,1061,1
1057,1077,1121,1091,1072,1
1069,1091,1110,1092,1039,1
1047,1088,1101,1083,1065,1
1056,1082,1097,1094,1062,1
1053,1087,1088,1105,1047,1
1052,1083,1088,1082,1059,1
1066,1085,1104,1088,1050,1
1078,1093,1094,1101,1058,1
1074,1077,1090,1108,1054,1
1083,1095,1088,1088,1031,1
1050,1084,1093,1101,1075,1
1050,1087,1088,1089,1077,1
1072,1081,1095,1076,1061,1
1077,1097,1087,1082,1043,1
1073,1094,1089,1088,1023,1
1057,1088,1101,1100,1031,1
1041,1086,1087,1113,1061,1
1046,1085,1088,1089,1029,1
1065,1088,1080,1091,1078,1
1063,1094,1104,1087,1087,1
1072,1083,1104,1082,1071,1
1037,1104,1078,1097,1076,1
1067,1084,1100,1095,1075,1
1057,1091,1100,1091,1065,1
957,1009,962,960,907,1
967,990,964,955,960,1
976,967,991,963,912,1
953,943,1018,1014,951,1
963,959,946,995,976,1
947,957,962,964,957,1
944,941,966,994,937,1
960,935,970,976,963,1
961,937,981,995,951,1
1018,965,963,971,947,1
970,960,1028,1008,929,1
969,995,976,986,957,1
970,963,991,982,941,1
942,945,1014,992,938,1
938,975,979,978,971,1
963,922,963,978,929,1
963,937,987,1002,941,1
992,937,1008,971,935,1
997,941,936,1003,973,1
925,955,962,960,937,1
1028,983,991,991,974,1
951,962,996,1009,976,1
947,946,987,962,949,1
931,943,1002,1015,946,1
937,946,966,1003,962,1
945,943,995,1002,918,1
965,944,1008,948,946,1
987,981,962,1008,1003,1
1028,959,954,1002,970,1
919,972,977,1008,953,1
979,944,978,970,971,1
991,966,994,1005,969,1
961,1003,970,975,970,1
991,931,975,982,944,1
945,967,957,966,967,1
967,960,954,989,1010,1
957,954,978,1009,941,1
963,925,983,1039,925,1
960,944,1029,960,924,1
971,960,983,1023,919,1
934,979,964,1002,933,1
967,998,965,1008,957,1
1073,925,969,988,962,1
980,938,973,1031,1017,1
989,951,961,1007,944,1
944,930,951,970,944,1
933,960,974,979,937,1
1008,944,969,971,974,1
971,933,997,959,963,1
960,966,992,998,917,1
971,947,1033,1003,933,1
937,944,1008,1008,946,1
944,938,965,976,951,1
962,922,1008,1003,973,1
993,960,955,1003,939,1
944,951,982,983,945,1
944,960,955,972,941,1
951,983,986,985,941,1
1014,933,981,1020,956,1
946,943,967,962,946,1
1011,929,986,963,938,1
942,942,998,967,930,1
961,975,967,951,945,1
967,944,962,947,930,1
585,504,464,495,387,1
624,528,528,431,421,1
610,605,532,437,406,1
708,563,486,448,439,1
631,528,469,432,385,1
624,635,474,438,429,1
695,595,517,443,427,1
641,565,496,506,432,1
621,533,475,459,400,1
602,503,464,432,448,1
627,614,489,464,431,1
638,492,464,400,397,1
592,559,467,426,381,1
645,603,494,458,426,1
665,528,473,432,385,1
594,517,469,450,400,1
589,499,464,473,387,1
671,525,467,453,399,1
576,511,464,439,385,1
671,565,491,443,432,1
596,518,464,431,384,1
635,567,494,495,429,1
656,557,509,496,405,1
669,540,547,431,417,1
585,503,467,399,387,1
650,539,478,434,397,1
649,519,459,470,395,1
669,549,464,448,463,1
656,593,497,454,432,1
572,489,464,445,368,1
613,529,471,430,386,1
624,553,478,441,413,1
795,569,533,497,416,1
720,549,481,494,438,1
602,528,471,448,426,1
613,572,477,442,371,1
658,496,453,438,395,1
633,528,466,454,395,1
592,520,469,432,391,1
651,576,486,456,430,1
628,560,479,432,420,1
654,575,511,429,430,1
590,503,455,501,366,1
643,554,496,470,398,1
597,509,469,429,397,1
703,546,474,447,419,1
635,518,465,435,461,1
637,555,523,445,423,1
639,563,496,449,427,1
704,608,484,470,420,1
679,541,473,446,411,1
578,508,480,452,403,1
